CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster,Segment
1,Male,19,15,39,5,Low Value Customers
2,Male,21,15,81,3,Impulse Buyers
3,Female,20,16,6,5,Low Value Customers
4,Female,23,16,77,3,Impulse Buyers
5,Female,31,17,40,5,Low Value Customers
6,Female,22,17,76,3,Impulse Buyers
7,Female,35,18,6,5,Low Value Customers
8,Female,23,18,94,3,Impulse Buyers
9,Male,64,19,3,5,Low Value Customers
10,Female,30,19,72,3,Impulse Buyers
11,Male,67,19,14,5,Low Value Customers
12,Female,35,19,99,3,Impulse Buyers
13,Female,58,20,15,5,Low Value Customers
14,Female,24,20,77,3,Impulse Buyers
15,Male,37,20,13,5,Low Value Customers
16,Male,22,20,79,3,Impulse Buyers
17,Female,35,21,35,5,Low Value Customers
18,Male,20,21,66,3,Impulse Buyers
19,Male,52,23,29,5,Low Value Customers
20,Female,35,23,98,3,Impulse Buyers
21,Male,35,24,35,5,Low Value Customers
22,Male,25,24,73,3,Impulse Buyers
23,Female,46,25,5,5,Low Value Customers
24,Male,31,25,73,3,Impulse Buyers
25,Female,54,28,14,5,Low Value Customers
26,Male,29,28,82,3,Impulse Buyers
27,Female,45,28,32,5,Low Value Customers
28,Male,35,28,61,3,Impulse Buyers
29,Female,40,29,31,5,Low Value Customers
30,Female,23,29,87,3,Impulse Buyers
31,Male,60,30,4,5,Low Value Customers
32,Female,21,30,73,3,Impulse Buyers
33,Male,53,33,4,5,Low Value Customers
34,Male,18,33,92,3,Impulse Buyers
35,Female,49,33,14,5,Low Value Customers
36,Female,21,33,81,3,Impulse Buyers
37,Female,42,34,17,5,Low Value Customers
38,Female,30,34,73,3,Impulse Buyers
39,Female,36,37,26,5,Low Value Customers
40,Female,20,37,75,3,Impulse Buyers
41,Female,65,38,35,5,Low Value Customers
42,Male,24,38,92,3,Impulse Buyers
43,Male,48,39,36,5,Low Value Customers
44,Female,31,39,61,1,Mid Value Customers
45,Female,49,39,28,5,Low Value Customers
46,Female,24,39,65,3,Impulse Buyers
47,Female,50,40,55,1,Mid Value Customers
48,Female,27,40,47,1,Mid Value Customers
49,Female,29,40,42,1,Mid Value Customers
50,Female,31,40,42,1,Mid Value Customers
51,Female,49,42,52,1,Mid Value Customers
52,Male,33,42,60,1,Mid Value Customers
53,Female,31,43,54,1,Mid Value Customers
54,Male,59,43,60,1,Mid Value Customers
55,Female,50,43,45,1,Mid Value Customers
56,Male,47,43,41,1,Mid Value Customers
57,Female,51,44,50,1,Mid Value Customers
58,Male,69,44,46,1,Mid Value Customers
59,Female,27,46,51,1,Mid Value Customers
60,Male,53,46,46,1,Mid Value Customers
